Counter,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,label
1,0.27,-0.08,0.94,2.56,-1.71,7.14,25.72,29.98,-46.75,backhand
1,0.27,-0.07,0.95,4.21,-4.94,5.68,25.13,30.04,-46.25,backhand
1,0.26,-0.1,0.95,7.2,-2.38,4.76,24.52,29.96,-46.23,backhand
1,0.26,-0.1,0.96,-4.27,-5.92,3.17,25.12,29.88,-47.11,backhand
1,0.25,-0.1,0.97,-0.67,-2.69,3.05,24.54,29.08,-47.6,backhand
1,0.26,-0.07,0.96,6.1,-2.56,1.77,24.8,29.52,-47.25,backhand
1,0.25,-0.17,1.08,5.49,-10.38,10.86,24.91,29.5,-47.18,backhand
1,0.28,-0.09,1.04,84.35,-11.72,6.41,24.43,31.91,-46.53,backhand
1,0.31,-0.33,1.13,198,-22.09,7.08,23.93,36.27,-43.73,backhand
1,0.23,-0.67,1.26,173.22,-1.53,39,24.78,41.48,-39.17,backhand
1,0.17,-0.43,1.12,195.19,39.12,47.12,26.26,43.62,-33.36,backhand
1,0.14,-0.52,0.92,244.93,56.82,37.35,27.66,45.62,-22.73,backhand
1,0.11,-0.96,0.95,146.42,92.47,66.1,28.31,45.63,-14.29,backhand
1,0.07,-0.68,0.65,154.72,147.77,88.87,28.65,43.29,-6.64,backhand
1,0.01,-0.85,0.54,81.6,222.23,97.9,29.05,40.47,2.26,backhand
1,-0.1,-0.77,0.19,87.77,264.53,121.52,26.01,39.17,12.68,backhand
1,-0.61,-0.46,0.47,102.84,397.4,174.68,18.9,36.02,19.98,backhand
1,-1.12,0.16,-0.9,106.75,478.52,132.87,6.4,33.8,25.01,backhand
1,-0.76,0.22,-2.18,55.54,301.76,76.9,-7.25,31.05,24.21,backhand
1,-0.47,0.12,-1.54,-3.42,88.01,30.7,-12.34,29.02,21.59,backhand
1,-0.2,-0.08,-1.34,-32.59,20.69,-0.79,-14.32,29.96,20.54,backhand
1,-0.06,-0.24,-1.05,-24.11,3.54,-6.29,-15.19,30.44,19.1,backhand
1,-0.03,-0.31,-1.1,-11.41,10.86,-7.26,-15.5,31.41,19.47,backhand
1,-0.03,-0.36,-1.06,-0.24,-1.04,-12.02,-15.41,31.14,20,backhand
1,-0.02,-0.4,-1.05,-8.91,-1.1,-3.3,-15.37,30.62,19.57,backhand
1,-0.05,-0.42,-1.01,-1.59,-3.91,-3.3,-15.41,31.08,19.48,backhand
1,-0.05,-0.4,-1,-7.87,-2.93,3.91,-15.34,31.38,18.51,backhand
1,-0.05,-0.36,-0.96,-2.14,-7.51,1.22,-15.04,31.77,18.74,backhand
1,-0.05,-0.41,-0.96,-5.31,-12.33,-1.59,-14.7,31.63,17.88,backhand
1,-0.03,-0.37,-0.9,-6.77,-10.5,2.69,-14.15,31.1,19.07,backhand
2,0.18,-0.05,0.94,16.24,5.74,0.49,21.52,27.69,-49.05,backhand
2,0.12,-0.05,1.01,10.56,0.61,0.24,21.42,28,-47.99,backhand
2,0.1,0,1.06,-25.45,-7.32,-2.44,21.66,27.7,-47.27,backhand
2,0.12,-0.03,1.02,27.83,5.68,-2.08,21.06,27.59,-48.6,backhand
2,0.13,-0.1,0.93,10.5,-4.21,-2.38,21.63,28.58,-47.66,backhand
2,0.11,-0.07,1.05,34.48,-3.72,-4.09,20.56,29.9,-48.51,backhand
2,0.07,-0.14,1.07,76.9,-6.16,-2.01,20.81,31.48,-47.57,backhand
2,0.12,-0.26,1.14,155.03,-4.27,0.85,20.48,34.27,-47.24,backhand
2,0.09,-0.36,1.25,173.1,53.65,12.45,20.67,39.07,-44.57,backhand
2,0.09,-0.46,1.12,140.75,89.72,3.17,23.05,42.26,-40.09,backhand
2,0.11,-0.71,0.98,161.74,126.95,17.52,26.49,43.02,-34.02,backhand
2,0.15,-0.67,0.73,149.72,148.56,33.14,28.88,43.27,-23.82,backhand
2,0.21,-0.83,0.41,127.01,159.55,40.22,30.98,41.97,-14.16,backhand
2,0.28,-0.87,0.19,89.29,146.3,50.17,30.57,41.49,-6.01,backhand
2,0.3,-0.93,0.25,87.89,134.58,72.45,30.27,39.9,2.09,backhand
2,0.3,-0.68,0.13,78.19,164.37,97.11,28.61,37.71,7.21,backhand
2,0.25,-0.56,-0.26,65.12,187.74,99.55,26.31,35.21,13.48,backhand
2,0.16,-0.54,0.13,85.82,215.45,126.53,22.61,33.02,18.98,backhand
2,-0.58,0.16,0.55,-43.76,441.41,85.45,17.43,30.33,22.88,backhand
2,-1.14,-0.08,-1.8,10.25,440.67,11.47,4.25,32.01,24.18,backhand
2,-0.63,-0.23,-2.24,-18.25,110.41,36.74,-10.56,32.13,21.69,backhand
