counter,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,label
1,0.56,-0.75,0.39,-0.73,0.37,-0.31,9.78,54.76,-24.78,forehand
1,0.55,-0.76,0.39,1.53,2.99,-0.18,9.61,54.66,-24.46,forehand
1,0.54,-0.74,0.39,-0.43,1.46,1.4,9.62,54.79,-24.73,forehand
1,0.54,-0.74,0.41,-0.73,1.16,0.79,10.02,55.05,-25.16,forehand
1,0.54,-0.72,0.39,-0.61,3.42,-0.43,9.55,54.81,-24.22,forehand
1,0.55,-0.72,0.41,-1.28,2.75,-1.71,8.79,54.52,-23.67,forehand
1,0.63,-0.64,0.48,-5.98,7.63,-12.51,9.33,55.03,-23.69,forehand
1,0.89,-0.8,0.55,-9.7,21.61,-22.71,8.56,55.2,-24.65,forehand
1,1.03,-1.23,0.39,-16.42,33.81,-9.4,8.35,55.07,-23.99,forehand
1,0.85,-1.79,0.2,-52.25,32.53,75.81,9.2,54.69,-25.04,forehand
1,0.36,-1.82,-0.3,-84.59,13.18,218.2,15.59,51.59,-27.2,forehand
1,-0.13,-1.39,-0.39,-43.95,-79.22,320.98,23.02,46.86,-29.47,forehand
1,-1.09,-1.17,-0.23,1.89,-225.83,447.69,29.32,38.17,-32.62,forehand
1,-1.93,-0.19,0.57,194.7,-392.21,470.03,30.26,27.95,-39.58,forehand
1,-1.78,0.8,1.41,37.96,-443.97,353.39,23.47,20.23,-48.39,forehand
1,-0.91,0.73,1.55,64.94,-137.33,124.21,11.43,19.59,-51.51,forehand
1,-0.64,0.64,1.46,36.74,-78.8,63.9,7.41,20.58,-53.28,forehand
1,-0.45,0.28,1.31,-12.39,12.33,13,6.62,21.69,-53.48,forehand
1,-0.42,0.09,1,1.04,38.7,-16.24,7.45,20.76,-52.94,forehand
1,-0.33,-0.08,1.06,-14.83,24.9,-20.39,9.35,20.87,-53.42,forehand
1,-0.31,0.02,0.87,-8.42,39.18,-15.14,10.93,20.32,-53.1,forehand
1,-0.28,0.06,0.98,-7.2,8,-4.27,11.8,19.2,-53.49,forehand
1,-0.25,0.1,0.95,-6.47,4.82,-5,11.32,19.49,-51.93,forehand
1,-0.22,0.08,0.97,-5.19,4.03,-6.96,11.9,18.57,-52.17,forehand
1,-0.2,0.06,0.97,-0.12,6.71,-8,11.99,18.52,-51.86,forehand
1,-0.2,0.04,0.97,1.28,9.16,-8.24,12.43,19.37,-51.93,forehand
1,-0.19,0.07,0.98,-5.55,6.84,-3.48,12.62,18.88,-52.27,forehand
1,-0.2,0.07,0.97,-3.3,4.21,-4.82,12.63,19.78,-52.19,forehand
1,-0.19,0.08,0.98,0.31,2.26,0.67,12.65,18.85,-52.8,forehand
