Counter,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,label
1,0.43,0.01,0.9,2.14,0.67,1.4,34.41,30,-26.03,idle
1,0.44,-0.02,0.89,1.59,1.04,0.92,33.72,30,-26.27,idle
1,0.44,-0.02,0.89,1.4,1.1,-0.24,34.55,29.93,-26.11,idle
1,0.43,-0.01,0.87,1.46,1.28,0.79,33.85,29.7,-26.98,idle
1,0.43,-0.01,0.89,2.38,1.71,0.61,34.5,30.37,-25.55,idle
1,0.44,-0.02,0.89,1.04,0.92,0.67,34.75,29.88,-25.96,idle
1,0.43,-0.01,0.88,2.01,1.83,0.49,34.39,29.53,-25.28,idle
1,0.43,-0.02,0.88,1.46,1.71,0.12,34.12,30.53,-25.29,idle
1,0.43,-0.02,0.89,0.61,0.49,0.98,33.9,30,-26.11,idle
1,0.43,-0.02,0.86,1.77,2.32,0.12,34.07,30.43,-26.51,idle
1,0.43,-0.02,0.89,1.1,1.4,1.22,34.27,30.04,-25.99,idle
1,0.43,-0.03,0.87,1.22,1.77,1.34,34.02,30.43,-25.99,idle
1,0.43,-0.01,0.9,1.04,0.79,1.53,33.86,29.94,-26.66,idle
1,0.43,-0.04,0.89,0.98,0.85,0.12,34.01,30.18,-25.98,idle
1,0.43,-0.02,0.9,0.43,0.06,1.04,34.46,30.07,-27.03,idle
1,0.43,-0.03,0.89,1.04,1.28,-0.18,34.12,30.04,-25.24,idle
1,0.43,-0.04,0.88,0.61,1.16,0.37,34.12,29.96,-26.59,idle
1,0.43,-0.04,0.86,1.34,2.44,-0.79,34.02,30,-26.11,idle
1,0.42,-0.04,0.87,1.4,3.17,-1.22,34.44,29.8,-25.74,idle
1,0.43,-0.02,0.88,0.85,1.1,1.71,33.59,30.36,-26.57,idle
1,0.43,-0.01,0.9,1.4,1.95,1.22,34.33,30.81,-26.37,idle
1,0.43,-0.04,0.89,0.37,1.95,0.73,33.78,30.43,-26.14,idle
1,0.43,-0.04,0.89,-0.24,1.71,1.34,33.94,30.51,-26.64,idle
1,0.43,-0.03,0.93,1.1,1.71,0.06,34.46,29.41,-26.97,idle
1,0.43,-0.05,0.87,-0.43,0.98,0.55,34.17,29.76,-27.03,idle
1,0.43,0,0.93,0.61,3.3,1.4,34,29.65,-25.83,idle
1,0.44,-0.04,0.9,-1.46,4.46,0.49,34,29.93,-27.43,idle
1,0.43,-0.04,0.9,-0.06,-0.24,1.89,34.18,30.11,-26.49,idle
1,0.44,-0.01,0.88,0.67,2.69,-0.61,34.59,30.24,-26.34,idle
1,0.42,-0.03,0.88,-0.98,1.89,1.59,33.9,29.54,-26.76,idle
